production_line,product_id,custo_producao_por_lata
JAC_L3,Fusion_Morango,0.3918
JAC_L3,Itubaiana_Laranja,0.355
JAC_L3,Itubaiana_Uva,0.4549
JAC_L3,Itubaiana_Limao,0.2889
EXT_L1,Coca_Cola,0.1478
EXT_L1,Fanta_Laranja,0.3853
EXT_L1,Fanta_Uva,0.4043
EXT_L1,Sprite,0.3245
EXT_L1,Kuat,0.4084
EXT_L1,Schweppes_Citrus,0.2975
EXT_L1,Del_Valle_Pessego,0.3091
EXT_L1,Del_Valle_Uva,0.271
EXT_L1,H2OH_Limao,0.1102
EXT_L1,H2OH_Maracuja,0.1432
EXT_L1,Brahma_Lata,0.1126
EXT_L1,Antarctica_Lata,0.3546
EXT_L1,Skol_Lata,0.2257
EXT_L1,Bohemia_Lata,0.3034
EXT_L1,Budweiser_Lata,0.463
EXT_L1,Corona_Lata,0.1997
EXT_L1,Stella_Artois_Lata,0.2642
EXT_L1,Heineken_Lata,0.4022
EXT_L1,Amstel_Lata,0.1915
EXT_L1,Eisenbahn_Lata,0.1308
EXT_L1,Pepsi,0.2159
EXT_L1,Pepsi_Black,0.1645
EXT_L1,Guarana_Antarctica,0.4719
EXT_L1,Guarana_Jesus,0.4232
EXT_L1,Tonica_Schweppes,0.3534
EXT_L1,Fusion_Manga,0.4486
EXT_L1,Fusion_Morango,0.4215
EXT_L1,Itubaiana_Laranja,0.1746
EXT_L1,Itubaiana_Uva,0.457
EXT_L1,Itubaiana_Limao,0.3157
EXT_L2,Coca_Cola,0.423
EXT_L2,Fanta_Laranja,0.4584
EXT_L2,Fanta_Uva,0.2272
EXT_L2,Sprite,0.144
EXT_L2,Kuat,0.1912
EXT_L2,Schweppes_Citrus,0.2708
EXT_L2,Del_Valle_Pessego,0.4272
EXT_L2,Del_Valle_Uva,0.4443
EXT_L2,H2OH_Limao,0.1028
EXT_L2,H2OH_Maracuja,0.3043
EXT_L2,Brahma_Lata,0.267
EXT_L2,Antarctica_Lata,0.1888
EXT_L2,Skol_Lata,0.1479
EXT_L2,Bohemia_Lata,0.235
EXT_L2,Budweiser_Lata,0.4772
EXT_L2,Corona_Lata,0.2293
EXT_L2,Stella_Artois_Lata,0.3075
EXT_L2,Heineken_Lata,0.3812
EXT_L2,Amstel_Lata,0.2455
EXT_L2,Eisenbahn_Lata,0.4887
EXT_L2,Pepsi,0.485
EXT_L2,Pepsi_Black,0.2007
EXT_L2,Guarana_Antarctica,0.2989
EXT_L2,Guarana_Jesus,0.2204
EXT_L2,Tonica_Schweppes,0.2139
EXT_L2,Fusion_Manga,0.1148
EXT_L2,Fusion_Morango,0.3438
EXT_L2,Itubaiana_Laranja,0.3011
EXT_L2,Itubaiana_Uva,0.1206
EXT_L2,Itubaiana_Limao,0.2115
EXT_L3,Coca_Cola,0.4633
EXT_L3,Fanta_Laranja,0.1958
EXT_L3,Fanta_Uva,0.158
EXT_L3,Sprite,0.2958
EXT_L3,Kuat,0.4943
EXT_L3,Schweppes_Citrus,0.1968
EXT_L3,Del_Valle_Pessego,0.3689
EXT_L3,Del_Valle_Uva,0.4046
EXT_L3,H2OH_Limao,0.1951
EXT_L3,H2OH_Maracuja,0.3913
EXT_L3,Brahma_Lata,0.2471
EXT_L3,Antarctica_Lata,0.3529
EXT_L3,Skol_Lata,0.3534
EXT_L3,Bohemia_Lata,0.3143
EXT_L3,Budweiser_Lata,0.1361
EXT_L3,Corona_Lata,0.4341
EXT_L3,Stella_Artois_Lata,0.2283
EXT_L3,Heineken_Lata,0.1746
EXT_L3,Amstel_Lata,0.1163
EXT_L3,Eisenbahn_Lata,0.3364
EXT_L3,Pepsi,0.371
EXT_L3,Pepsi_Black,0.1066
EXT_L3,Guarana_Antarctica,0.3048
EXT_L3,Guarana_Jesus,0.1906
EXT_L3,Tonica_Schweppes,0.3581
EXT_L3,Fusion_Manga,0.1697
EXT_L3,Fusion_Morango,0.3764
EXT_L3,Itubaiana_Laranja,0.2547
EXT_L3,Itubaiana_Uva,0.4747
EXT_L3,Itubaiana_Limao,0.155
FRU_L1,Coca_Cola,0.2364
FRU_L1,Fanta_Laranja,0.1454
FRU_L1,Fanta_Uva,0.4699
FRU_L1,Sprite,0.4509
FRU_L1,Kuat,0.2032
FRU_L1,Schweppes_Citrus,0.364
FRU_L1,Del_Valle_Pessego,0.4269
FRU_L1,Del_Valle_Uva,0.3221
FRU_L1,H2OH_Limao,0.3119
FRU_L1,H2OH_Maracuja,0.1967
FRU_L1,Brahma_Lata,0.1372
FRU_L1,Antarctica_Lata,0.4589
FRU_L1,Skol_Lata,0.4602
FRU_L1,Bohemia_Lata,0.3532
FRU_L1,Budweiser_Lata,0.2356
FRU_L1,Corona_Lata,0.2397
FRU_L1,Stella_Artois_Lata,0.3904
FRU_L1,Heineken_Lata,0.4588
FRU_L1,Amstel_Lata,0.4548
FRU_L1,Eisenbahn_Lata,0.412
FRU_L1,Pepsi,0.3568
FRU_L1,Pepsi_Black,0.1337
FRU_L1,Guarana_Antarctica,0.1647
FRU_L1,Guarana_Jesus,0.4594
FRU_L1,Tonica_Schweppes,0.3426
FRU_L1,Fusion_Manga,0.1037
FRU_L1,Fusion_Morango,0.1406
FRU_L1,Itubaiana_Laranja,0.3654
FRU_L1,Itubaiana_Uva,0.102
FRU_L1,Itubaiana_Limao,0.1643
FRU_L2,Coca_Cola,0.3195
FRU_L2,Fanta_Laranja,0.3768
FRU_L2,Fanta_Uva,0.3608
FRU_L2,Sprite,0.1897
FRU_L2,Kuat,0.3849
FRU_L2,Schweppes_Citrus,0.1949
FRU_L2,Del_Valle_Pessego,0.2302
FRU_L2,Del_Valle_Uva,0.3986
FRU_L2,H2OH_Limao,0.3599
FRU_L2,H2OH_Maracuja,0.4397
FRU_L2,Brahma_Lata,0.363
FRU_L2,Antarctica_Lata,0.3273
FRU_L2,Skol_Lata,0.1375
FRU_L2,Bohemia_Lata,0.2471
FRU_L2,Budweiser_Lata,0.2061
FRU_L2,Corona_Lata,0.1976
FRU_L2,Stella_Artois_Lata,0.4892
FRU_L2,Heineken_Lata,0.2572
FRU_L2,Amstel_Lata,0.4568
FRU_L2,Eisenbahn_Lata,0.3525
FRU_L2,Pepsi,0.4179
FRU_L2,Pepsi_Black,0.3011
FRU_L2,Guarana_Antarctica,0.3308
FRU_L2,Guarana_Jesus,0.297
FRU_L2,Tonica_Schweppes,0.1781
FRU_L2,Fusion_Manga,0.389
FRU_L2,Fusion_Morango,0.2123
FRU_L2,Itubaiana_Laranja,0.1097
FRU_L2,Itubaiana_Uva,0.3582
FRU_L2,Itubaiana_Limao,0.1708
FRU_L3,Coca_Cola,0.4762
FRU_L3,Fanta_Laranja,0.4816
FRU_L3,Fanta_Uva,0.4659
FRU_L3,Sprite,0.2481
FRU_L3,Kuat,0.1062
FRU_L3,Schweppes_Citrus,0.4713
FRU_L3,Del_Valle_Pessego,0.2713
FRU_L3,Del_Valle_Uva,0.4867
FRU_L3,H2OH_Limao,0.4854
FRU_L3,H2OH_Maracuja,0.4412
FRU_L3,Brahma_Lata,0.2178
FRU_L3,Antarctica_Lata,0.254
FRU_L3,Skol_Lata,0.4405
FRU_L3,Bohemia_Lata,0.2268
FRU_L3,Budweiser_Lata,0.1678
FRU_L3,Corona_Lata,0.3227
FRU_L3,Stella_Artois_Lata,0.4745
FRU_L3,Heineken_Lata,0.3784
FRU_L3,Amstel_Lata,0.328
FRU_L3,Eisenbahn_Lata,0.1389
FRU_L3,Pepsi,0.346
FRU_L3,Pepsi_Black,0.496
FRU_L3,Guarana_Antarctica,0.156
FRU_L3,Guarana_Jesus,0.3073
FRU_L3,Tonica_Schweppes,0.4509
FRU_L3,Fusion_Manga,0.3963
FRU_L3,Fusion_Morango,0.3788
FRU_L3,Itubaiana_Laranja,0.381
FRU_L3,Itubaiana_Uva,0.2438
FRU_L3,Itubaiana_Limao,0.2174
VIA_L1,Coca_Cola,0.4237
VIA_L1,Fanta_Laranja,0.424
VIA_L1,Fanta_Uva,0.4468
VIA_L1,Sprite,0.4653
VIA_L1,Kuat,0.3045
VIA_L1,Schweppes_Citrus,0.3006
VIA_L1,Del_Valle_Pessego,0.4193
VIA_L1,Del_Valle_Uva,0.36
VIA_L1,H2OH_Limao,0.3808
VIA_L1,H2OH_Maracuja,0.4183
VIA_L1,Brahma_Lata,0.456
VIA_L1,Antarctica_Lata,0.2352
VIA_L1,Skol_Lata,0.2502
VIA_L1,Bohemia_Lata,0.1376
VIA_L1,Budweiser_Lata,0.3313
VIA_L1,Corona_Lata,0.1144
VIA_L1,Stella_Artois_Lata,0.2862
VIA_L1,Heineken_Lata,0.3171
VIA_L1,Amstel_Lata,0.2146
VIA_L1,Eisenbahn_Lata,0.3363
VIA_L1,Pepsi,0.1122
VIA_L1,Pepsi_Black,0.1149
VIA_L1,Guarana_Antarctica,0.429
VIA_L1,Guarana_Jesus,0.2441
VIA_L1,Tonica_Schweppes,0.1508
VIA_L1,Fusion_Manga,0.3089
VIA_L1,Fusion_Morango,0.408
VIA_L1,Itubaiana_Laranja,0.1863
VIA_L1,Itubaiana_Uva,0.3492
VIA_L1,Itubaiana_Limao,0.1341
VIA_L2,Coca_Cola,0.1207
VIA_L2,Fanta_Laranja,0.3125
VIA_L2,Fanta_Uva,0.3163
VIA_L2,Sprite,0.355
VIA_L2,Kuat,0.3904
VIA_L2,Schweppes_Citrus,0.4903
VIA_L2,Del_Valle_Pessego,0.3065
VIA_L2,Del_Valle_Uva,0.2292
VIA_L2,H2OH_Limao,0.4181
VIA_L2,H2OH_Maracuja,0.2083
VIA_L2,Brahma_Lata,0.2756
VIA_L2,Antarctica_Lata,0.1314
VIA_L2,Skol_Lata,0.1101
VIA_L2,Bohemia_Lata,0.4851
VIA_L2,Budweiser_Lata,0.4344
VIA_L2,Corona_Lata,0.3784
VIA_L2,Stella_Artois_Lata,0.2636
VIA_L2,Heineken_Lata,0.1693
VIA_L2,Amstel_Lata,0.1626
VIA_L2,Eisenbahn_Lata,0.2001
VIA_L2,Pepsi,0.3197
VIA_L2,Pepsi_Black,0.3858
VIA_L2,Guarana_Antarctica,0.3641
VIA_L2,Guarana_Jesus,0.212
VIA_L2,Tonica_Schweppes,0.4819
VIA_L2,Fusion_Manga,0.3952
VIA_L2,Fusion_Morango,0.3217
VIA_L2,Itubaiana_Laranja,0.3447
VIA_L2,Itubaiana_Uva,0.2678
VIA_L2,Itubaiana_Limao,0.1991
VIA_L3,Coca_Cola,0.2424
VIA_L3,Fanta_Laranja,0.4031
VIA_L3,Fanta_Uva,0.1058
VIA_L3,Sprite,0.1464
VIA_L3,Kuat,0.1184
VIA_L3,Schweppes_Citrus,0.1163
VIA_L3,Del_Valle_Pessego,0.4422
VIA_L3,Del_Valle_Uva,0.3815
VIA_L3,H2OH_Limao,0.2897
VIA_L3,H2OH_Maracuja,0.1391
VIA_L3,Brahma_Lata,0.2966
VIA_L3,Antarctica_Lata,0.2894
VIA_L3,Skol_Lata,0.1693
VIA_L3,Bohemia_Lata,0.2735
VIA_L3,Budweiser_Lata,0.2594
VIA_L3,Corona_Lata,0.3463
VIA_L3,Stella_Artois_Lata,0.354
VIA_L3,Heineken_Lata,0.1181
VIA_L3,Amstel_Lata,0.2498
VIA_L3,Eisenbahn_Lata,0.3503
VIA_L3,Pepsi,0.3013
VIA_L3,Pepsi_Black,0.4426
VIA_L3,Guarana_Antarctica,0.3635
VIA_L3,Guarana_Jesus,0.1652
VIA_L3,Tonica_Schweppes,0.1282
VIA_L3,Fusion_Manga,0.357
VIA_L3,Fusion_Morango,0.1106
VIA_L3,Itubaiana_Laranja,0.3343
VIA_L3,Itubaiana_Uva,0.4761
VIA_L3,Itubaiana_Limao,0.3302
ITU_L1,Coca_Cola,0.2553
ITU_L1,Fanta_Laranja,0.3573
ITU_L1,Fanta_Uva,0.2833
ITU_L1,Sprite,0.3182
ITU_L1,Kuat,0.4766
ITU_L1,Schweppes_Citrus,0.2544
ITU_L1,Del_Valle_Pessego,0.4845
ITU_L1,Del_Valle_Uva,0.4621
ITU_L1,H2OH_Limao,0.1783
ITU_L1,H2OH_Maracuja,0.1277
ITU_L1,Brahma_Lata,0.1403
ITU_L1,Antarctica_Lata,0.1073
ITU_L1,Skol_Lata,0.1378
ITU_L1,Bohemia_Lata,0.3732
ITU_L1,Budweiser_Lata,0.1285
ITU_L1,Corona_Lata,0.2276
ITU_L1,Stella_Artois_Lata,0.438
ITU_L1,Heineken_Lata,0.1093
ITU_L1,Amstel_Lata,0.4258
ITU_L1,Eisenbahn_Lata,0.2127
ITU_L1,Pepsi,0.1473
ITU_L1,Pepsi_Black,0.3787
ITU_L1,Guarana_Antarctica,0.3516
ITU_L1,Guarana_Jesus,0.451
ITU_L1,Tonica_Schweppes,0.394
ITU_L1,Fusion_Manga,0.4214
ITU_L1,Fusion_Morango,0.2128
ITU_L1,Itubaiana_Laranja,0.171
ITU_L1,Itubaiana_Uva,0.4002
ITU_L1,Itubaiana_Limao,0.4227
ITU_L2,Coca_Cola,0.4962
ITU_L2,Fanta_Laranja,0.265
ITU_L2,Fanta_Uva,0.2488
ITU_L2,Sprite,0.4106
ITU_L2,Kuat,0.2363
ITU_L2,Schweppes_Citrus,0.4723
ITU_L2,Del_Valle_Pessego,0.4434
ITU_L2,Del_Valle_Uva,0.2716
ITU_L2,H2OH_Limao,0.4003
ITU_L2,H2OH_Maracuja,0.4018
ITU_L2,Brahma_Lata,0.1412
ITU_L2,Antarctica_Lata,0.461
ITU_L2,Skol_Lata,0.3021
ITU_L2,Bohemia_Lata,0.4306
ITU_L2,Budweiser_Lata,0.228
ITU_L2,Corona_Lata,0.4582
ITU_L2,Stella_Artois_Lata,0.2557
ITU_L2,Heineken_Lata,0.1043
ITU_L2,Amstel_Lata,0.4622
ITU_L2,Eisenbahn_Lata,0.1365
ITU_L2,Pepsi,0.2277
ITU_L2,Pepsi_Black,0.48
ITU_L2,Guarana_Antarctica,0.4802
ITU_L2,Guarana_Jesus,0.3294
ITU_L2,Tonica_Schweppes,0.3527
ITU_L2,Fusion_Manga,0.2794
ITU_L2,Fusion_Morango,0.2173
ITU_L2,Itubaiana_Laranja,0.2315
ITU_L2,Itubaiana_Uva,0.369
ITU_L2,Itubaiana_Limao,0.4009
ITU_L3,Coca_Cola,0.4166
ITU_L3,Fanta_Laranja,0.4158
ITU_L3,Fanta_Uva,0.1365
ITU_L3,Sprite,0.2978
ITU_L3,Kuat,0.123
ITU_L3,Schweppes_Citrus,0.3198
ITU_L3,Del_Valle_Pessego,0.2766
ITU_L3,Del_Valle_Uva,0.4551
ITU_L3,H2OH_Limao,0.2404
ITU_L3,H2OH_Maracuja,0.1468
ITU_L3,Brahma_Lata,0.1572
ITU_L3,Antarctica_Lata,0.4046
ITU_L3,Skol_Lata,0.3473
ITU_L3,Bohemia_Lata,0.1404
ITU_L3,Budweiser_Lata,0.1336
ITU_L3,Corona_Lata,0.3804
ITU_L3,Stella_Artois_Lata,0.1291
ITU_L3,Heineken_Lata,0.4287
ITU_L3,Amstel_Lata,0.3825
ITU_L3,Eisenbahn_Lata,0.1325
ITU_L3,Pepsi,0.1339
ITU_L3,Pepsi_Black,0.4947
ITU_L3,Guarana_Antarctica,0.2497
ITU_L3,Guarana_Jesus,0.2483
ITU_L3,Tonica_Schweppes,0.4251
ITU_L3,Fusion_Manga,0.4789
ITU_L3,Fusion_Morango,0.4944
ITU_L3,Itubaiana_Laranja,0.4014
ITU_L3,Itubaiana_Uva,0.2505
ITU_L3,Itubaiana_Limao,0.1334
POU_L1,Coca_Cola,0.4109
POU_L1,Fanta_Laranja,0.3234
POU_L1,Fanta_Uva,0.2697
POU_L1,Sprite,0.4625
POU_L1,Kuat,0.1445
POU_L1,Schweppes_Citrus,0.2971
POU_L1,Del_Valle_Pessego,0.1045
POU_L1,Del_Valle_Uva,0.2875
POU_L1,H2OH_Limao,0.1225
POU_L1,H2OH_Maracuja,0.1475
POU_L1,Brahma_Lata,0.147
POU_L1,Antarctica_Lata,0.3597
POU_L1,Skol_Lata,0.3984
POU_L1,Bohemia_Lata,0.3333
POU_L1,Budweiser_Lata,0.4849
POU_L1,Corona_Lata,0.2499
POU_L1,Stella_Artois_Lata,0.2143
POU_L1,Heineken_Lata,0.4474
POU_L1,Amstel_Lata,0.1894
POU_L1,Eisenbahn_Lata,0.4853
POU_L1,Pepsi,0.1049
POU_L1,Pepsi_Black,0.488
POU_L1,Guarana_Antarctica,0.1173
POU_L1,Guarana_Jesus,0.4565
POU_L1,Tonica_Schweppes,0.3111
POU_L1,Fusion_Manga,0.4972
POU_L1,Fusion_Morango,0.1295
POU_L1,Itubaiana_Laranja,0.3215
POU_L1,Itubaiana_Uva,0.4877
POU_L1,Itubaiana_Limao,0.3092
POU_L2,Coca_Cola,0.3518
POU_L2,Fanta_Laranja,0.3783
POU_L2,Fanta_Uva,0.2818
POU_L2,Sprite,0.351
POU_L2,Kuat,0.3337
POU_L2,Schweppes_Citrus,0.4605
POU_L2,Del_Valle_Pessego,0.1182
POU_L2,Del_Valle_Uva,0.2124
POU_L2,H2OH_Limao,0.4802
POU_L2,H2OH_Maracuja,0.4561
POU_L2,Brahma_Lata,0.2823
POU_L2,Antarctica_Lata,0.3481
POU_L2,Skol_Lata,0.211
POU_L2,Bohemia_Lata,0.1752
POU_L2,Budweiser_Lata,0.2855
POU_L2,Corona_Lata,0.2413
POU_L2,Stella_Artois_Lata,0.3335
POU_L2,Heineken_Lata,0.1311
POU_L2,Amstel_Lata,0.4898
POU_L2,Eisenbahn_Lata,0.4945
POU_L2,Pepsi,0.3793
POU_L2,Pepsi_Black,0.3144
POU_L2,Guarana_Antarctica,0.2238
POU_L2,Guarana_Jesus,0.4255
POU_L2,Tonica_Schweppes,0.3739
POU_L2,Fusion_Manga,0.165
POU_L2,Fusion_Morango,0.4644
POU_L2,Itubaiana_Laranja,0.429
POU_L2,Itubaiana_Uva,0.4799
POU_L2,Itubaiana_Limao,0.3903
POU_L3,Coca_Cola,0.3454
POU_L3,Fanta_Laranja,0.2673
POU_L3,Fanta_Uva,0.4731
POU_L3,Sprite,0.4464
POU_L3,Kuat,0.1181
POU_L3,Schweppes_Citrus,0.1105
POU_L3,Del_Valle_Pessego,0.2506
POU_L3,Del_Valle_Uva,0.4242
POU_L3,H2OH_Limao,0.4949
POU_L3,H2OH_Maracuja,0.1602
POU_L3,Brahma_Lata,0.3377
POU_L3,Antarctica_Lata,0.2524
POU_L3,Skol_Lata,0.488
POU_L3,Bohemia_Lata,0.4368
POU_L3,Budweiser_Lata,0.4353
POU_L3,Corona_Lata,0.2875
POU_L3,Stella_Artois_Lata,0.2659
POU_L3,Heineken_Lata,0.2094
POU_L3,Amstel_Lata,0.1226
POU_L3,Eisenbahn_Lata,0.4459
POU_L3,Pepsi,0.4252
POU_L3,Pepsi_Black,0.4999
POU_L3,Guarana_Antarctica,0.4987
POU_L3,Guarana_Jesus,0.3222
POU_L3,Tonica_Schweppes,0.4076
POU_L3,Fusion_Manga,0.4779
POU_L3,Fusion_Morango,0.4399
POU_L3,Itubaiana_Laranja,0.1989
POU_L3,Itubaiana_Uva,0.2802
POU_L3,Itubaiana_Limao,0.1517
ALA_L1,Coca_Cola,0.4816
ALA_L1,Fanta_Laranja,0.3425
ALA_L1,Fanta_Uva,0.1915
ALA_L1,Sprite,0.3687
ALA_L1,Kuat,0.3473
ALA_L1,Schweppes_Citrus,0.2433
ALA_L1,Del_Valle_Pessego,0.1454
ALA_L1,Del_Valle_Uva,0.3686
ALA_L1,H2OH_Limao,0.3081
ALA_L1,H2OH_Maracuja,0.4089
ALA_L1,Brahma_Lata,0.3081
ALA_L1,Antarctica_Lata,0.4409
ALA_L1,Skol_Lata,0.3208
ALA_L1,Bohemia_Lata,0.3244
ALA_L1,Budweiser_Lata,0.4507
ALA_L1,Corona_Lata,0.2614
ALA_L1,Stella_Artois_Lata,0.1536
ALA_L1,Heineken_Lata,0.1115
ALA_L1,Amstel_Lata,0.4021
ALA_L1,Eisenbahn_Lata,0.3481
ALA_L1,Pepsi,0.3816
ALA_L1,Pepsi_Black,0.1852
ALA_L1,Guarana_Antarctica,0.1545
ALA_L1,Guarana_Jesus,0.1058
ALA_L1,Tonica_Schweppes,0.2402
ALA_L1,Fusion_Manga,0.336
ALA_L1,Fusion_Morango,0.2569
ALA_L1,Itubaiana_Laranja,0.275
ALA_L1,Itubaiana_Uva,0.4617
ALA_L1,Itubaiana_Limao,0.2393
ALA_L2,Coca_Cola,0.3056
ALA_L2,Fanta_Laranja,0.4135
ALA_L2,Fanta_Uva,0.2586
ALA_L2,Sprite,0.3488
ALA_L2,Kuat,0.4449
ALA_L2,Schweppes_Citrus,0.4798
ALA_L2,Del_Valle_Pessego,0.1588
ALA_L2,Del_Valle_Uva,0.4706
ALA_L2,H2OH_Limao,0.2968
ALA_L2,H2OH_Maracuja,0.2033
ALA_L2,Brahma_Lata,0.2837
ALA_L2,Antarctica_Lata,0.492
ALA_L2,Skol_Lata,0.297
ALA_L2,Bohemia_Lata,0.2315
ALA_L2,Budweiser_Lata,0.3534
ALA_L2,Corona_Lata,0.1961
ALA_L2,Stella_Artois_Lata,0.1303
ALA_L2,Heineken_Lata,0.1516
ALA_L2,Amstel_Lata,0.1512
ALA_L2,Eisenbahn_Lata,0.1608
ALA_L2,Pepsi,0.1555
ALA_L2,Pepsi_Black,0.3563
ALA_L2,Guarana_Antarctica,0.1728
ALA_L2,Guarana_Jesus,0.2383
ALA_L2,Tonica_Schweppes,0.4587
ALA_L2,Fusion_Manga,0.2896
ALA_L2,Fusion_Morango,0.367
ALA_L2,Itubaiana_Laranja,0.1689
ALA_L2,Itubaiana_Uva,0.1769
ALA_L2,Itubaiana_Limao,0.1163
ALA_L3,Coca_Cola,0.1676
ALA_L3,Fanta_Laranja,0.2114
ALA_L3,Fanta_Uva,0.1708
ALA_L3,Sprite,0.1355
ALA_L3,Kuat,0.1483
ALA_L3,Schweppes_Citrus,0.2843
ALA_L3,Del_Valle_Pessego,0.1825
ALA_L3,Del_Valle_Uva,0.2457
ALA_L3,H2OH_Limao,0.3014
ALA_L3,H2OH_Maracuja,0.3762
ALA_L3,Brahma_Lata,0.1157
ALA_L3,Antarctica_Lata,0.4198
ALA_L3,Skol_Lata,0.3512
ALA_L3,Bohemia_Lata,0.1327
ALA_L3,Budweiser_Lata,0.4494
ALA_L3,Corona_Lata,0.4683
ALA_L3,Stella_Artois_Lata,0.1244
ALA_L3,Heineken_Lata,0.2108
ALA_L3,Amstel_Lata,0.4225
ALA_L3,Eisenbahn_Lata,0.3993
ALA_L3,Pepsi,0.1738
ALA_L3,Pepsi_Black,0.1837
ALA_L3,Guarana_Antarctica,0.2482
ALA_L3,Guarana_Jesus,0.2938
ALA_L3,Tonica_Schweppes,0.3473
ALA_L3,Fusion_Manga,0.2476
ALA_L3,Fusion_Morango,0.285
ALA_L3,Itubaiana_Laranja,0.399
ALA_L3,Itubaiana_Uva,0.1147
ALA_L3,Itubaiana_Limao,0.201
CAB_L1,Coca_Cola,0.3853
CAB_L1,Fanta_Laranja,0.4581
CAB_L1,Fanta_Uva,0.3047
CAB_L1,Sprite,0.3128
CAB_L1,Kuat,0.1429
CAB_L1,Schweppes_Citrus,0.279
CAB_L1,Del_Valle_Pessego,0.313
CAB_L1,Del_Valle_Uva,0.197
CAB_L1,H2OH_Limao,0.2077
CAB_L1,H2OH_Maracuja,0.2509
CAB_L1,Brahma_Lata,0.108
CAB_L1,Antarctica_Lata,0.2288
CAB_L1,Skol_Lata,0.1846
CAB_L1,Bohemia_Lata,0.231
CAB_L1,Budweiser_Lata,0.1479
CAB_L1,Corona_Lata,0.4562
CAB_L1,Stella_Artois_Lata,0.3374
CAB_L1,Heineken_Lata,0.3716
CAB_L1,Amstel_Lata,0.4157
CAB_L1,Eisenbahn_Lata,0.2994
CAB_L1,Pepsi,0.1348
CAB_L1,Pepsi_Black,0.3148
CAB_L1,Guarana_Antarctica,0.3347
CAB_L1,Guarana_Jesus,0.3982
CAB_L1,Tonica_Schweppes,0.2727
