origem,destino,distancia_km,custo_combustivel,custo_pedagio,custo_mao_de_obra,custo_total_frete
Frutal,Pouso Alegre,499.99,1749.98,599.99,1049.99,3399.96
Frutal,Gama,571.55,2000.41,685.85,1200.25,3886.51
Frutal,Viamao,1430.32,5006.13,1716.39,3003.68,9726.2
Frutal,Itupeva,496.98,1739.45,596.38,1043.67,3379.5
Frutal,Cabo de Santo Agostinho,2474.17,8659.59,2969.0,5195.75,16824.34
Pouso Alegre,Jacarei,140.0,490.01,168.0,294.0,952.01
Pouso Alegre,Extrema,86.85,303.99,104.22,182.39,590.6
Pouso Alegre,Tres Rios,350.27,1225.96,420.33,735.58,2381.87
Pouso Alegre,Alagoinhas,1722.25,6027.89,2066.7,3616.73,11711.32
Pouso Alegre,Frutal,499.99,1749.98,599.99,1049.99,3399.96
Pouso Alegre,Pouso Alegre,0.0,0.0,0.0,0.0,0.0
Pouso Alegre,Gama,918.74,3215.58,1102.49,1929.35,6247.42
Pouso Alegre,Viamao,1259.67,4408.85,1511.61,2645.31,8565.76
Pouso Alegre,Itupeva,190.58,667.02,228.69,400.21,1295.93
Pouso Alegre,Cabo de Santo Agostinho,2421.82,8476.37,2906.19,5085.82,16468.38
Gama,Jacarei,1050.65,3677.29,1260.79,2206.38,7144.45
Gama,Extrema,974.93,3412.27,1169.92,2047.36,6629.56
Gama,Tres Rios,1064.17,3724.6,1277.01,2234.76,7236.37
Gama,Alagoinhas,1404.09,4914.32,1684.91,2948.59,9547.83
Gama,Frutal,571.55,2000.41,685.85,1200.25,3886.51
Gama,Pouso Alegre,918.74,3215.58,1102.49,1929.35,6247.42
Gama,Gama,0.0,0.0,0.0,0.0,0.0
Gama,Viamao,2001.69,7005.92,2402.03,4203.55,13611.5
Gama,Itupeva,1004.29,3515.01,1205.15,2109.0,6829.16
Gama,Cabo de Santo Agostinho,2064.82,7226.87,2477.78,4336.12,14040.78
Viamao,Jacarei,1135.47,3974.15,1362.56,2384.49,7721.2
Viamao,Extrema,1173.14,4105.98,1407.76,2463.59,7977.33
Viamao,Tres Rios,1475.24,5163.32,1770.28,3097.99,10031.6
Viamao,Alagoinhas,2975.27,10413.43,3570.32,6248.06,20231.81
Viamao,Frutal,1430.32,5006.13,1716.39,3003.68,9726.2
Viamao,Pouso Alegre,1259.67,4408.85,1511.61,2645.31,8565.76
Viamao,Gama,2001.69,7005.92,2402.03,4203.55,13611.5
Viamao,Viamao,0.0,0.0,0.0,0.0,0.0
Viamao,Itupeva,1084.64,3796.25,1301.57,2277.75,7375.58
Viamao,Cabo de Santo Agostinho,3668.73,12840.55,4402.47,7704.33,24947.36
Itupeva,Jacarei,141.02,493.57,169.22,296.14,958.93
Itupeva,Extrema,110.32,386.12,132.38,231.67,750.17
Itupeva,Tres Rios,516.12,1806.41,619.34,1083.85,3509.6
Itupeva,Alagoinhas,1907.84,6677.44,2289.41,4006.47,12973.32
Itupeva,Frutal,496.98,1739.45,596.38,1043.67,3379.5
Itupeva,Pouso Alegre,190.58,667.02,228.69,400.21,1295.93
Itupeva,Gama,1004.29,3515.01,1205.15,2109.0,6829.16
Itupeva,Viamao,1084.64,3796.25,1301.57,2277.75,7375.58
Itupeva,Itupeva,0.0,0.0,0.0,0.0,0.0
Itupeva,Cabo de Santo Agostinho,2608.8,9130.81,3130.56,5478.49,17739.86
Cabo de Santo Agostinho,Jacarei,2536.42,8877.48,3043.71,5326.49,17247.68
Cabo de Santo Agostinho,Extrema,2508.32,8779.14,3009.99,5267.48,17056.61
Cabo de Santo Agostinho,Tres Rios,2202.52,7708.81,2643.02,4625.29,14977.11
Cabo de Santo Agostinho,Alagoinhas,704.13,2464.46,844.96,1478.67,4788.09
Cabo de Santo Agostinho,Frutal,2474.17,8659.59,2969.0,5195.75,16824.34
Cabo de Santo Agostinho,Pouso Alegre,2421.82,8476.37,2906.19,5085.82,16468.38
Cabo de Santo Agostinho,Gama,2064.82,7226.87,2477.78,4336.12,14040.78
Cabo de Santo Agostinho,Viamao,3668.73,12840.55,4402.47,7704.33,24947.36
Cabo de Santo Agostinho,Itupeva,2608.8,9130.81,3130.56,5478.49,17739.86
Cabo de Santo Agostinho,Cabo de Santo Agostinho,0.0,0.0,0.0,0.0,0.0
